# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Landing page + query string,Sessions,Event count,Engagement rate
,2088,8034,0.9736590038314177,Grand total
(not set),42,83,0.023809523809523808
/,475,1185,1
/?fbclid=IwT01FWAT-UulwZG9mBWV4dG4DYWVtAjEwAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHiD64hN4qiG3vpZ-JvNQBDYEdJ7SFPcU6aj62HbDkc106UdFuYfNqC56p9Cu_aem_zRl2g9m7dsec_yKBc-75Pg,1,2,1
/?fbclid=IwY2xjawUEwwJwZG9mBWV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHuGlvHQyuTtc-jFgYfNp1ROOBUMSpouAuZUHxchKZoQSF3CUFcXmkDyDKHCq_aem_A1oWwMHwxC7UdFmOVduosg,1,1,1
/about-medhavi-foundation,1,2,1
/about-medhavi-skills-university/,1,1,1
/about-us-shine,42,163,1
/academic-calendar-2025-26,3,8,1
/admission-process,1,1,1
/application,6,12,1
/b-voc-in-hospitality-and-restaurant-operations-bbqnation/,2,6,1
/b-voc-in-radiology-and-medical-imaging-technology-iipms/,1,2,1
/bachelor-in-business-administration/,1,2,1
/blog/b-tech-vs-b-sc-vs-bca-which-course-should-you-choose-after-12th,1,2,1
/blog/bachelors-emergency-medical-technology-in-sikkim,1,1,1
/blog/bba-business-management-specializations-placements-salary,1,12,1
/blog/best-career-options-after-12th-in-2026-complete-guide-for-students,1,1,1
/blog/best-university-in-sikkim,2,3,1
/blog/bsc-hospitality-hotel-administration-sikkim,2,14,1
/blog/build-career-in-emergency-and-critical-care-technology-skill-requirements,2,4,1
/blog/build-your-career-in-clinical-psychology-education-opportunities-and-salary-insights,2,4,1
/blog/career-options-after-12th,1,2,1
/blog/career-options-after-12th-arts-high-growth-fields-you-should-consider,3,9,1
/blog/career-scopes-after-bsc-in-radiology-and-medical-imaging-technology-in-2023,2,4,1
/blog/courses-after-12th-global-career-opportunities,32,150,1
/blog/courses-after-12th-global-career-opportunities?hl=en-US,1,4,1
/blog/diploma-hospitality-hotel-management-colleges-sikkim,1,1,1
/blog/essential-skills-every-physiotherapist-must-have,1,1,1
/blog/everything-you-need-to-know-about-bsc-medical-laboratory-technology,2,2,1
/blog/five-reasons-to-pursue-a-b-sc-in-dialysis-technology-degree-at-medhavi-skills-university,1,5,1
/blog/gate-xh-for-humanities-students-iits,1,1,1
/blog/get-100-scholarships-and-financial-aid-at-medhavi-skills-university-for-your-higher-education,1,4,1
/blog/heres-how-medhavi-skills-university-and-emversity-are-redefining-medical-lab-technolog-education,1,4,1
/blog/hospitality-and-hotel-management-courses-after-12th-career-guide-2026,1,2,1
/blog/how-to-become-an-automotive-technician-in-germany-a-step-by-step-guide,1,3,1
/blog/how-work-integrated-psychology-programs-fit-into-your-corporate-career,1,9,1
/blog/inside-the-labs-exploring-top-allied-health-sciences-careers-after-12th,1,1,1
/blog/is-bba-in-hospital-administration-a-good-career-choice,1,1,1
/blog/mba-in-luxury-management-a-gateway-to-a-rewarding-career,1,3,1
/blog/misat-explained-scholarship-test-for-global-nursing-opportunities-in-germany,1,1,1
/blog/nursing-jobs-in-germany-for-indian-nurses-latest-trends-and-opportunities,1,1,1
/blog/on-the-job-training-in-hotel-management-how-it-boosts-students-careers,1,1,1
/blog/pathology-lab-assistant-university-in-sikkim,1,1,1
/blog/recognition-of-prior-learning-turning-experience-into-qualifications,3,4,1
/blog/skill-based-courses-after-12th-job-opportunities,2,2,1
/blog/skill-based-learning-operation-theatre-technology-advanced-ot-labs,1,1,1
/blog/skills-vs-degrees-indian-employers-prefer-skills,1,3,1
/blog/staff-nurse-vacancies-in-germany-what-to-expect-in-2025,2,8,1
/blog/strategic-finance-mba-your-path-to-becoming-a-future-cfo,1,2,1
/blog/top-10-startup-skills-you-ll-learn-in-a-bba-offered-by-medhavi-skills-university-and-physics-wallah,1,2,1
/blog/top-5-skills-universities-in-india-2026-best-skill-based-universities-for-career-ready-education,3,4,1
/blog/top-benefits-of-doing-hotel-management-course,2,3,1
/blog/top-healthcare-courses-after-12th-nursing-pharmacy-and-allied-health-career,4,8,1
/blog/top-in-demand-skills-students-must-learn-in-2026,4,10,1
/blog/top-paramedical-courses-after-12th-with-high-salary-potential,1,1,1
/blog/unlock-the-secrets-of-the-travel-industry-hospitality-and-tourism-management-explained,3,9,1
/blog/why-every-business-should-subscribe-to-msu-wise,1,1,1
/blog/why-germany-is-the-best-destination-for-indian-nurses-in-2026,1,1,1
/blog/why-pursue-a-ba-in-english-exploring-career-avenues-beyond-teaching,1,2,1
/blog/work-integrated-learning-how-students-earn-while-they-learn,4,11,1
/campus-programme-registration,1,3,1
/campus/bachelor-of-emergency-medical-technologist,1,1,1
/career-at-msu/,1,1,1
/careers,15,31,1
/contact-to-placement,1,5,1
/contact-us,8,28,1
/course/b-com-in-professional-accounting,25,121,1
/course/b-pharm-in-pharmacy,19,83,0.9473684210526315
/course/b-sc-in-hospitality-and-hotel-management,20,91,1
/course/b-sc-in-medical-laboratory-technology,27,127,1
/course/b-sc-in-medical-radiology-and-imaging-technology,42,222,1
/course/b-sc-in-nursing,30,142,1
/course/b-sc-in-nutrition-and-dietetics,16,77,1
/course/ba-in-applied-english,16,73,1
/course/bachelors-in-anesthesia-and-operation-theatre-technology,31,150,1
/course/bachelors-in-dialysis-therapy-technology,17,74,0.9411764705882353
/course/bachelors-in-emergency-medical-technology,39,181,0.9487179487179487
/course/bachelors-in-hospital-administration,26,123,1
/course/bachelors-in-optometry,28,118,0.9642857142857143
/course/bachelors-in-physiotherapy,36,167,0.9722222222222222
/course/bachelors-in-physiotherapy?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=tc&_x_tr_hist=true,1,5,1
/course/bba-in-business-management,12,53,1
/course/bca-in-full-stack-development,12,66,1
/course/bca-in-software-development,12,52,0.9166666666666666
/course/btech-in-artificial-intelligence-and-machine-learning,48,219,0.9791666666666666
/course/btech-in-cloud-computing-and-cyber-security,16,81,1
/course/d-pharm-in-pharmacy,12,57,0.9166666666666666
/course/diploma-in-anesthesia-and-operation-theatre-technology,50,227,1
/course/diploma-in-computer-science-engineering,10,46,1
/course/diploma-in-dialysis-therapy-technology,19,90,0.9473684210526315
/course/diploma-in-emergency-medical-technology,64,299,1
/course/diploma-in-medical-laboratory-technology,16,67,1
/course/diploma-in-medical-radiology-and-imaging-technology,66,329,1
/course/doctor-of-philosophy-phd,62,245,0.9838709677419355
/course/germany-nursing,3,11,1
/course/m-com-in-professional-accounting,15,75,1
/course/m-sc-in-clinical-microbiology,13,57,0.9230769230769231
/course/m-sc-in-dialysis-therapy,24,139,1
/course/m-sc-in-medical-laboratory-technology,28,151,1
