# ----------------------------------------
# Demographic details: Country
# Account: Medhavi Skills University Sikkim
# Property: Medhavi Skills University website
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260924
Country,City,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
,,1,1,0,0,0,40,5,0,0,0
(not set),(not set),1334,1336,1327,0.9969947407963937,0.9947526236881559,1.5014992503748126,6935,0,0,0
Afghanistan,Kabul,54,54,48,0.8888888888888888,0.8888888888888888,0,264,0,0,0
Albania,(not set),10,5,9,0.8181818181818182,0.9,0.3,29,0,0,0
Albania,Durres,1,1,0,0,0,0,3,0,0,0
Albania,Fier,1,0,1,1,1,15,1,0,0,0
Albania,Kavaje,1,0,1,1,1,0,1,0,0,0
Albania,Korce,2,1,2,1,1,15.5,4,0,0,0
Albania,Lezhe,1,1,1,1,1,0,3,0,0,0
Albania,Shkoder,3,0,3,1,1,7.666666666666667,4,0,0,0
Albania,Tirana,80,73,80,1,1,0.05,366,0,0,0
Albania,Vlore,1,0,1,1,1,18,2,0,0,0
Albania,Vore,1,0,1,1,1,0,1,0,0,0
Algeria,(not set),5,3,4,0.8,0.8,2.4,14,0,0,0
Algeria,Ain Benian,1,0,1,1,1,21,2,0,0,0
Algeria,Ain El Hammam,1,0,1,1,1,27,2,0,0,0
Algeria,Ain Merane,1,1,1,1,1,0,3,0,0,0
Algeria,Ait Oumalou,1,0,1,1,1,0,1,0,0,0
Algeria,Algiers,7,3,6,0.8571428571428571,0.8571428571428571,12.571428571428571,15,0,0,0
Algeria,Annaba,2,1,2,1,1,1.5,6,0,0,0
Algeria,Batna,1,0,1,1,1,2,1,0,0,0
Algeria,Bir El Djir,1,0,1,1,1,0,1,0,0,0
Algeria,Blida,1,1,1,1,1,0,3,0,0,0
Algeria,Boumerdes,1,1,1,1,1,0,3,0,0,0
Algeria,Chlef,1,1,1,1,1,0,3,0,0,0
Algeria,Constantine,1,1,1,1,1,0,3,0,0,0
Algeria,Debila,1,0,1,1,1,21,2,0,0,0
Algeria,Douera,1,1,1,1,1,20,6,0,0,0
Algeria,El Bouni,1,0,1,1,1,3,1,0,0,0
Algeria,El Khroub,2,2,4,1,2,8,20,0,0,0
Algeria,El Oued,2,0,2,1,1,0,2,0,0,0
Algeria,Guelma,1,0,1,1,1,0,1,0,0,0
Algeria,Guemar,1,0,0,0,0,0,1,0,0,0
Algeria,Laghouat,2,1,2,1,1,0,5,0,0,0
Algeria,Lakhdaria,1,1,1,1,1,122,11,0,0,0
Algeria,Mahelma,1,0,1,1,1,0,1,0,0,0
Algeria,Oran,5,0,4,0.8,0.8,11.8,7,0,0,0
Algeria,Ouenza,1,1,1,1,1,15,6,0,0,0
Algeria,Remchi,1,1,1,1,1,0,3,0,0,0
Algeria,Setif,3,2,2,0.6666666666666666,0.6666666666666666,3.6666666666666665,11,0,0,0
Algeria,Sidi Bel Abbes,4,2,4,1,1,15,11,0,0,0
Algeria,Tazmalt,1,1,1,1,1,318,5,0,0,0
Algeria,Tiaret,1,0,1,1,1,0,1,0,0,0
Algeria,Tizi Ouzou,2,2,2,1,1,4,8,0,0,0
Algeria,Tlemcen,1,0,1,1,1,14,2,0,0,0
Andorra,Andorra la Vella,1,1,1,1,1,0,5,0,0,0
Angola,(not set),2,1,1,0.5,0.5,0,4,0,0,0
Angola,Humpata,2,1,2,1,1,0,4,0,0,0
Angola,Luanda,9,4,9,1,1,127.22222222222223,38,0,0,0
Antigua & Barbuda,(not set),1,1,1,1,1,128,13,0,0,0
Argentina,(not set),15,3,14,0.9333333333333333,0.9333333333333333,4.2,23,0,0,0
Argentina,Alejandro Korn,1,0,1,1,1,0,1,0,0,0
Argentina,Avellaneda,1,0,1,1,1,0,1,0,0,0
Argentina,Balcarce,1,0,1,1,1,0,1,0,0,0
Argentina,Belen de Escobar,1,0,0,0,0,0,1,0,0,0
Argentina,Belgrano,1,0,1,1,1,0,1,0,0,0
Argentina,Benavidez,1,1,1,1,1,0,3,0,0,0
Argentina,Berazategui,3,0,3,1,1,0.6666666666666666,3,0,0,0
Argentina,Berisso,1,0,1,1,1,10,2,0,0,0
Argentina,Bernal Oeste,1,0,1,1,1,16,1,0,0,0
Argentina,Buenos Aires,14,7,14,1,1,8,34,0,0,0
Argentina,Caleta Olivia,1,1,1,1,1,0,3,0,0,0
Argentina,Carlos Spegazzini,1,0,1,1,1,0,1,0,0,0
Argentina,Caseros,1,0,1,1,1,36,2,0,0,0
Argentina,Charata,1,0,1,1,1,33,2,0,0,0
Argentina,City Bell,1,1,1,1,1,0,3,0,0,0
Argentina,Ciudad Madero,1,0,1,1,1,1,1,0,0,0
Argentina,Comodoro Rivadavia,2,1,2,1,1,0,4,0,0,0
Argentina,Concordia,2,1,2,1,1,0,4,0,0,0
Argentina,Cordoba,4,0,4,1,1,0,4,0,0,0
Argentina,Corrientes,1,0,1,1,1,0,1,0,0,0
Argentina,Cutral Co,1,1,1,1,1,0,3,0,0,0
Argentina,Don Torcuato,1,0,1,1,1,0,1,0,0,0
Argentina,El Talar,1,0,1,1,1,0,1,0,0,0
Argentina,Florencio Varela,2,2,2,1,1,0,6,0,0,0
Argentina,Formosa,1,0,1,1,1,0,1,0,0,0
Argentina,Francisco Alvarez,1,0,1,1,1,0,1,0,0,0
Argentina,General Las Heras,1,0,1,1,1,0,1,0,0,0
Argentina,General Rodriguez,1,0,0,0,0,0,1,0,0,0
Argentina,Gerli,1,0,1,1,1,32,1,0,0,0
Argentina,Glew,2,0,2,1,1,1.5,2,0,0,0
Argentina,Gregorio de Laferrere,1,0,1,1,1,28,1,0,0,0
Argentina,Gualeguaychu,1,0,1,1,1,0,1,0,0,0
Argentina,Guernica,3,1,3,1,1,0,5,0,0,0
Argentina,Ingeniero Budge,2,2,1,0.5,0.5,39,9,0,0,0
Argentina,Isidro Casanova,3,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,5,0,0,0
Argentina,Ituzaingo,2,1,2,1,1,0,4,0,0,0
Argentina,Jose C. Paz,4,2,4,1,1,0,8,0,0,0
