# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
,20607,11301,221,32022,Grand total
(not set),1265,1491,20,2765
Bengaluru,1415,704,17,2129
Singapore,9,1748,0,1757
Delhi,1272,372,24,1651
Mumbai,1175,305,10,1487
Kolkata,905,420,7,1317
Pune,1038,225,6,1260
Hyderabad,989,240,4,1228
Patna,828,184,6,1001
Chennai,699,134,6,838
Lucknow,646,125,14,769
Gurugram,159,538,4,695
Jaipur,537,150,4,688
New York,13,664,0,677
Ahmedabad,448,105,4,556
Kochi,445,93,2,540
Siliguri,397,94,2,491
Guwahati,428,58,0,484
Noida,154,233,2,385
Bhubaneswar,303,76,1,379
Indore,285,79,3,360
New Delhi,167,156,6,323
Nagpur,286,41,1,328
Agra,243,34,2,279
Ludhiana,214,62,1,274
Pimpri-Chinchwad,188,67,1,256
Ghaziabad,126,120,0,241
Bhopal,159,56,1,213
Kozhikode,166,40,0,206
Nashik,163,31,0,194
Varanasi,153,36,2,190
Vadodara,144,40,1,185
Chicago,1,182,0,183
Meerut,154,20,1,175
Coimbatore,144,27,1,172
Sonipat,146,18,2,164
Ashburn,28,129,0,157
Kanpur,120,32,1,153
Udaipur,134,10,1,145
Ranchi,114,27,3,142
Thiruvananthapuram,125,19,0,144
Mysuru,117,19,0,136
Surat,99,33,2,134
Agartala,108,12,3,123
Panipat,100,17,0,116
Chandigarh,100,16,0,115
Thane,77,34,2,111
Kalyan,95,16,1,112
Prayagraj,91,17,0,105
Guntur,86,16,0,102
Jammu,84,8,1,91
Navi Mumbai,57,36,0,90
Ambala Cantt,72,14,0,86
Durgapur,69,17,0,86
Raipur,62,22,0,83
Visakhapatnam,67,16,0,82
Gangtok,43,38,1,82
Dehradun,58,23,0,81
Jodhpur,69,12,0,81
Faridabad,54,24,2,80
Chhatrapati Sambhajinagar,67,11,0,78
Moradabad,62,14,0,76
