Country,Clicks,Impressions,CTR,Position
India,6652,2116210,0.31%,7.21
Pakistan,42,7333,0.57%,7.73
United States,38,39657,0.1%,16.88
Nigeria,38,4421,0.86%,6.69
United Arab Emirates,36,4283,0.84%,13.17
Nepal,33,3026,1.09%,7.16
Bangladesh,24,2698,0.89%,8.38
South Africa,23,2304,1%,8.77
Philippines,21,4308,0.49%,9.32
Kenya,19,2552,0.74%,6.55
Saudi Arabia,18,2637,0.68%,8.28
Tanzania,14,1176,1.19%,6.59
United Kingdom,11,10206,0.11%,21.66
Singapore,11,1462,0.75%,23.93
Germany,10,3385,0.3%,15.59
Australia,9,2384,0.38%,32.59
Ghana,9,1708,0.53%,4.92
Malaysia,8,1768,0.45%,20.87
Russia,8,1594,0.5%,5.72
France,8,1523,0.53%,8.2
Iran,8,344,2.33%,5.35
Qatar,7,1101,0.64%,7.37
Bahrain,7,387,1.81%,5.39
Canada,6,4343,0.14%,19.1
Indonesia,6,1618,0.37%,10.83
Sri Lanka,6,1404,0.43%,10.81
Kuwait,6,978,0.61%,7.64
Oman,6,691,0.87%,6.05
Mexico,5,1095,0.46%,9.55
Netherlands,4,1366,0.29%,8.43
Thailand,4,726,0.55%,11.03
Zimbabwe,4,612,0.65%,11.8
Ethiopia,4,398,1.01%,5.7
Kazakhstan,4,354,1.13%,4.71
Czechia,4,195,2.05%,8.37
Spain,3,1074,0.28%,11.24
Uganda,3,978,0.31%,5.69
Poland,3,827,0.36%,6.42
Egypt,3,669,0.45%,9.14
Algeria,3,377,0.8%,12.12
Iraq,3,240,1.25%,7.68
China,2,1067,0.19%,5.78
Turkey,2,843,0.24%,13.99
Japan,2,736,0.27%,6.65
South Korea,2,597,0.34%,9.46
Zambia,2,570,0.35%,5.5
Morocco,2,456,0.44%,13.34
New Zealand,2,351,0.57%,13.49
Romania,2,311,0.64%,16.38
Peru,2,308,0.65%,7.6
Bulgaria,2,210,0.95%,7.24
Jamaica,2,169,1.18%,5.76
Rwanda,2,132,1.52%,4.98
Azerbaijan,2,92,2.17%,5.57
Estonia,2,30,6.67%,17.6
Kosovo,2,21,9.52%,4.86
Italy,1,718,0.14%,11.14
Argentina,1,593,0.17%,9.54
Belgium,1,493,0.2%,9.4
Colombia,1,469,0.21%,9.86
Hong Kong,1,427,0.23%,8.3
Cameroon,1,266,0.38%,5.19
Uzbekistan,1,231,0.43%,6.1
Sweden,1,230,0.43%,10.06
Portugal,1,223,0.45%,9.2
Myanmar (Burma),1,190,0.53%,7.82
Finland,1,187,0.53%,8.11
Tunisia,1,172,0.58%,6.69
Maldives,1,170,0.59%,6.49
Taiwan,1,159,0.63%,9.33
Bhutan,1,153,0.65%,5.06
Lebanon,1,111,0.9%,6.02
Georgia,1,104,0.96%,7.59
Mauritius,1,102,0.98%,7.45
Kyrgyzstan,1,97,1.03%,4
South Sudan,1,88,1.14%,5.2
Unknown Region,1,73,1.37%,3.92
Papua New Guinea,1,66,1.52%,4.71
Guyana,1,64,1.56%,5.38
Slovakia,1,63,1.59%,8.37
Mongolia,1,61,1.64%,6.98
Costa Rica,1,53,1.89%,10.13
Cyprus,1,48,2.08%,6.56
Guatemala,1,48,2.08%,10.1
Congo - Kinshasa,1,46,2.17%,4.89
Gambia,1,43,2.33%,5.72
Uruguay,1,42,2.38%,7.64
Malta,1,37,2.7%,4.78
Cuba,1,36,2.78%,4.25
Yemen,1,36,2.78%,8.28
Timor-Leste,1,15,6.67%,8.6
Ukraine,0,2791,0%,12.55
Brazil,0,2073,0%,12.31
Vietnam,0,1852,0%,12.48
Afghanistan,0,904,0%,12.63
Ireland,0,461,0%,10.65
Austria,0,328,0%,13.28
Switzerland,0,304,0%,16.49
Israel,0,258,0%,9.83
Ecuador,0,218,0%,9.91
Trinidad & Tobago,0,217,0%,6
Chile,0,215,0%,8.82
Malawi,0,197,0%,5.76
Namibia,0,188,0%,6.48
Greece,0,171,0%,8.4
Jordan,0,160,0%,17.53
Somalia,0,153,0%,7.44
Venezuela,0,150,0%,8.65
Botswana,0,144,0%,5.43
Belarus,0,142,0%,6.05
Hungary,0,137,0%,9.73
Albania,0,128,0%,5.93
Lithuania,0,121,0%,13.13
Cambodia,0,116,0%,6.73
Serbia,0,116,0%,8.66
Croatia,0,108,0%,12.8
Dominican Republic,0,104,0%,8.69
Denmark,0,103,0%,8.92
Latvia,0,102,0%,10.37
Norway,0,95,0%,7.73
Paraguay,0,76,0%,8.82
Moldova,0,69,0%,6.32
Sierra Leone,0,66,0%,5.48
Lesotho,0,61,0%,6.23
Palestine,0,60,0%,10.05
Armenia,0,59,0%,6.05
Bolivia,0,57,0%,9.84
Syria,0,54,0%,4.35
Swaziland,0,54,0%,4.56
Puerto Rico,0,54,0%,4.69
Madagascar,0,52,0%,4
El Salvador,0,50,0%,7.94
Côte d’Ivoire,0,47,0%,6.98
Tajikistan,0,46,0%,4.54
Fiji,0,43,0%,3.88
Brunei,0,43,0%,6.07
Panama,0,43,0%,6.72
Honduras,0,43,0%,8.63
Libya,0,41,0%,6.1
Liberia,0,40,0%,6.05
Slovenia,0,40,0%,7.67
Bahamas,0,39,0%,6.44
Nicaragua,0,36,0%,7.39
Bosnia & Herzegovina,0,35,0%,6.71
Seychelles,0,35,0%,8.17
Macedonia,0,33,0%,6.79
Mozambique,0,31,0%,7.81
Senegal,0,31,0%,8.29
Luxembourg,0,31,0%,31.74
Barbados,0,28,0%,6.14
Burkina Faso,0,25,0%,4.52
Togo,0,25,0%,5.28
Laos,0,21,0%,5.43
Benin,0,20,0%,5.75
Turkmenistan,0,19,0%,3.84
Belize,0,17,0%,21.76
Vanuatu,0,15,0%,6.07
Angola,0,15,0%,12.6
Solomon Islands,0,14,0%,4.93
Iceland,0,14,0%,20.14
Haiti,0,13,0%,4.85
Mali,0,12,0%,5.25
Gabon,0,11,0%,3.73
Congo - Brazzaville,0,10,0%,3.4
Suriname,0,10,0%,4.5
Grenada,0,10,0%,4.6
Macau,0,10,0%,5.5
Chad,0,10,0%,6.7
Niger,0,10,0%,7.2
St. Lucia,0,9,0%,4.56
Sudan,0,9,0%,6
Réunion,0,8,0%,1.88
