Country,Clicks,Impressions,CTR,Position
India,886,227505,0.39%,9.06
United Arab Emirates,7,520,1.35%,16.24
Kuwait,4,185,2.16%,4.88
Nepal,3,488,0.61%,7.74
Saudi Arabia,3,348,0.86%,9.76
Kenya,3,333,0.9%,6.59
Bangladesh,3,268,1.12%,8.94
Pakistan,2,221,0.9%,7.84
Canada,2,172,1.16%,6.9
Qatar,2,117,1.71%,6.88
Bahrain,2,49,4.08%,4.45
United States,1,2400,0.04%,19.63
Indonesia,1,157,0.64%,15.17
Oman,1,108,0.93%,5.03
South Africa,1,105,0.95%,3.48
Tanzania,1,102,0.98%,5.62
Bhutan,1,73,1.37%,4.12
Thailand,1,67,1.49%,21.57
France,1,48,2.08%,11.92
Maldives,1,33,3.03%,8.03
Ethiopia,1,29,3.45%,7.21
Algeria,1,21,4.76%,15.52
Somalia,1,15,6.67%,8.47
United Kingdom,0,323,0%,12.33
Malaysia,0,308,0%,26.37
Philippines,0,210,0%,9.75
Zimbabwe,0,152,0%,5.8
Vietnam,0,151,0%,31.53
Singapore,0,144,0%,39.19
Uganda,0,138,0%,3.67
Australia,0,138,0%,11.88
Brazil,0,113,0%,10.79
Nigeria,0,104,0%,7.14
Jordan,0,99,0%,3.54
Sri Lanka,0,98,0%,14.98
Germany,0,96,0%,11.58
Turkey,0,78,0%,26.82
Russia,0,75,0%,14.35
South Korea,0,73,0%,8.26
Ghana,0,58,0%,5.6
Spain,0,58,0%,15.09
Mexico,0,52,0%,16.04
Italy,0,51,0%,16.43
Iraq,0,48,0%,7.08
Papua New Guinea,0,46,0%,3.65
Morocco,0,40,0%,17.7
Chile,0,40,0%,37.88
Botswana,0,37,0%,4.57
Japan,0,33,0%,14.88
Egypt,0,30,0%,8.7
Israel,0,29,0%,8.86
Unknown Region,0,27,0%,6.33
Netherlands,0,27,0%,9.78
Ukraine,0,27,0%,14.56
Zambia,0,26,0%,5.81
Austria,0,26,0%,11.54
Serbia,0,26,0%,11.62
Albania,0,24,0%,13.25
Romania,0,23,0%,8.91
New Zealand,0,22,0%,8.91
Yemen,0,22,0%,17.64
Myanmar (Burma),0,21,0%,5.71
Ireland,0,21,0%,6.57
China,0,19,0%,13.95
Portugal,0,18,0%,10.94
Malawi,0,17,0%,5.24
Poland,0,17,0%,9.18
Argentina,0,15,0%,12.47
Peru,0,15,0%,14.07
Colombia,0,14,0%,9.14
Jamaica,0,13,0%,5.08
Namibia,0,12,0%,4.58
Switzerland,0,12,0%,7
Hong Kong,0,12,0%,11.25
Hungary,0,12,0%,14.42
Trinidad & Tobago,0,11,0%,4
Cambodia,0,11,0%,5.27
Iran,0,11,0%,7.09
Greece,0,10,0%,7.2
Sweden,0,10,0%,10.8
Ecuador,0,10,0%,13.5
Czechia,0,9,0%,6.22
Dominican Republic,0,9,0%,7.89
Taiwan,0,9,0%,7.89
Belgium,0,9,0%,12.89
Libya,0,8,0%,5.25
Lesotho,0,8,0%,6.5
Kyrgyzstan,0,8,0%,7.12
Sierra Leone,0,7,0%,2.71
South Sudan,0,7,0%,3.29
Finland,0,7,0%,4.86
Guyana,0,7,0%,4.86
Lebanon,0,7,0%,7.43
Uzbekistan,0,7,0%,13.43
Kazakhstan,0,7,0%,15.14
Mauritius,0,6,0%,3.17
Brunei,0,6,0%,6
Rwanda,0,6,0%,6.33
Costa Rica,0,6,0%,7.83
Lithuania,0,6,0%,11
Moldova,0,6,0%,15.83
Liberia,0,5,0%,4.4
Georgia,0,5,0%,7.8
Azerbaijan,0,5,0%,9.8
Denmark,0,5,0%,10.8
Venezuela,0,5,0%,11.2
Norway,0,5,0%,13.8
Palestine,0,5,0%,66.6
Honduras,0,4,0%,8.25
Armenia,0,4,0%,10.5
Tunisia,0,4,0%,13.75
Afghanistan,0,4,0%,33.25
Guinea-Bissau,0,3,0%,3
Swaziland,0,3,0%,3.33
El Salvador,0,3,0%,4.67
Malta,0,3,0%,6
Cameroon,0,3,0%,6.33
Slovakia,0,3,0%,6.33
Dominica,0,3,0%,6.67
Syria,0,3,0%,7.33
Latvia,0,3,0%,12
Bahamas,0,3,0%,26.67
Benin,0,2,0%,1.5
Fiji,0,2,0%,1.5
Gambia,0,2,0%,3
Kiribati,0,2,0%,3.5
Seychelles,0,2,0%,4.5
Bosnia & Herzegovina,0,2,0%,5
Mongolia,0,2,0%,6
Nicaragua,0,2,0%,6
Côte d’Ivoire,0,2,0%,6.5
Burkina Faso,0,2,0%,7
Cyprus,0,2,0%,8
Guatemala,0,2,0%,8.5
Senegal,0,2,0%,9.5
Bulgaria,0,2,0%,13
Puerto Rico,0,2,0%,16.5
Macedonia,0,2,0%,21
Estonia,0,2,0%,23.5
Paraguay,0,2,0%,26
Belarus,0,2,0%,28.5
Panama,0,2,0%,35
Angola,0,1,0%,1
Mozambique,0,1,0%,1
Eritrea,0,1,0%,2
Slovenia,0,1,0%,4
Tajikistan,0,1,0%,4
Guinea,0,1,0%,5
Solomon Islands,0,1,0%,6
Sint Maarten,0,1,0%,6
Aruba,0,1,0%,7
Andorra,0,1,0%,8
Curaçao,0,1,0%,8
Luxembourg,0,1,0%,9
Kosovo,0,1,0%,9
American Samoa,0,1,0%,11
Barbados,0,1,0%,11
Suriname,0,1,0%,11
Togo,0,1,0%,12
Sudan,0,1,0%,14
Madagascar,0,1,0%,20
Iceland,0,1,0%,88
