Top pages,Clicks,Impressions,CTR,Position
https://www.msu.edu.in/course/master-s-in-anesthesia-and-operation-theatre-technology,512,50328,1.02%,6.69
https://www.msu.edu.in/course/m-sc-in-medical-radiology-and-imaging-technology,410,46166,0.89%,7.1
https://www.msu.edu.in/course/diploma-in-medical-radiology-and-imaging-technology,345,49346,0.7%,7.12
https://www.msu.edu.in/course/diploma-in-anesthesia-and-operation-theatre-technology,322,58984,0.55%,7.18
https://www.msu.edu.in/course/diploma-in-emergency-medical-technology,285,30636,0.93%,6.16
https://www.msu.edu.in/course/bachelors-in-physiotherapy,250,11949,2.09%,5.93
https://www.msu.edu.in/course/btech-in-artificial-intelligence-and-machine-learning,241,24784,0.97%,7.3
https://www.msu.edu.in/course/master-of-advanced-care-paramedic,179,7397,2.42%,5.09
https://www.msu.edu.in/course/diploma-in-medical-laboratory-technology,176,20952,0.84%,8.26
https://www.msu.edu.in/course/b-sc-in-medical-radiology-and-imaging-technology,155,26783,0.58%,8.84
https://www.msu.edu.in/course/m-sc-in-dialysis-therapy,151,9064,1.67%,5.68
https://www.msu.edu.in/course/b-sc-in-hospitality-and-hotel-management,144,10063,1.43%,8.33
https://www.msu.edu.in/course/bachelors-in-hospital-administration,140,25989,0.54%,8.21
https://www.msu.edu.in/course/m-sc-in-clinical-microbiology,138,11013,1.25%,6.58
https://www.msu.edu.in/course/b-sc-in-nursing,137,6771,2.02%,5.32
https://www.msu.edu.in/course/professional-diploma-in-hospitality-and-hotel-management,128,20506,0.62%,8.9
https://www.msu.edu.in/course/bachelors-in-optometry,124,6041,2.05%,6.02
https://www.msu.edu.in/course/m-sc-in-medical-laboratory-technology,118,18028,0.65%,7.55
https://www.msu.edu.in/course/b-pharm-in-pharmacy,109,16784,0.65%,8.23
https://www.msu.edu.in/course/masters-in-optometry,108,6409,1.69%,7.8
https://www.msu.edu.in/course/ma-in-applied-english,104,8053,1.29%,9.65
https://www.msu.edu.in/course/bachelors-in-emergency-medical-technology,96,14152,0.68%,6.45
https://www.msu.edu.in/course/m-com-in-professional-accounting,87,6995,1.24%,8.58
https://www.msu.edu.in/course/diploma-in-dialysis-therapy-technology,85,15891,0.53%,7.29
https://www.msu.edu.in/course/bachelors-in-anesthesia-and-operation-theatre-technology,78,6043,1.29%,6.38
https://www.msu.edu.in/course/diploma-in-computer-science-engineering,77,11138,0.69%,7.82
https://www.msu.edu.in/course/mca-in-cyber-security,74,17374,0.43%,9.54
https://www.msu.edu.in/course/b-sc-in-medical-laboratory-technology,74,12678,0.58%,10.2
